#OTU ID	S324	S164	S400	S346	S145	S568	S389	S459	S566	S579	S532	S332	S119	S147	S112	S169	S325	S105	S355	S165	S55	S229	S116	S58	S176	S507	S490	S565	S161	S341	S511	S571	S92	S354	S557	S174	S71	S113	S166	S533	S580	S168	S554	S516	S100	S508	S336	S276	S267	S111	S638	S647	S668	S196	S210	S632	S76	S436	S603	S683	S21	S454	S644	S678	S456	S425	S642	S599	S687	S674	S433	S320	S653	S663	S648	S423	S303	S444	S662	S288	S596	S435	S602	S637	S80	S260	S37	S90	S453	S428	S438	S701	S645	S604	S286	S608	S609	S698	S643	S685	S652
Otu000118_Sphingomonadaceae_unclassified	209	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	9	0	3	8	2	0	2	0	1	1	0	2	0	0	0	0	1	18	0	25	0	0	0	0	0	0	0	36	27	10	30	21	13	0	121	10	0	20	12	13	17	12	29	40	2	50	7	68	0	41	11	7	2	0	6	14	22	10	43	15	7	5	0	43	3	3	49	18	10	12	30	0	7	5	1	37	17	0
Otu000119_Cutibacterium	24	4	0	0	10	0	54	7	2	0	0	92	0	1	1	1	233	11	0	2	2	2	0	0	0	0	0	3	7	0	2	1	1	0	0	15	51	18	1	0	0	0	0	2	4	1	23	0	166	6	0	0	0	61	2	1	6	0	0	0	3	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	660	2	0	12	17	4	3	2	20	0	8	1993	8	1	0	0	0	1	1	0	1	0	1	1	6
Otu000120_Sphingomonadaceae_unclassified	21	2	0	1	2	12	18	7	0	0	1	63	49	3	0	0	85	0	0	0	15	4	0	21	2	5	33	6	2	3	0	0	0	0	1	4	473	0	5	1	0	1	0	0	0	16	17	0	21	0	1	2	0	24	86	6	0	3	0	0	41	5	32	9	3	0	1	0	2	0	5	3	2	2	4	6	0	0	6	19	57	4	7	5	0	0	1	11	5	6	4	0	3	2	2	0	0	0	3	34	0
Otu000121_Xanthobacteraceae_unclassified	0	35	5	0	5	12	745	63	0	3	0	0	0	4	0	29	0	0	0	2	1	0	8	0	4	10	26	183	0	6	0	3	0	2	7	0	0	0	103	0	8	5	1	0	0	12	0	17	107	0	5	8	10	0	9	3	0	5	0	12	6	5	2	1	2	4	0	17	1	2	1	5	8	6	12	1	0	55	0	5	0	0	11	0	1	15	3	0	8	3	1	6	6	7	0	12	0	1	18	12	17
Otu000122_Microlunatus	312	1	2	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	1	3	0	2	0	1	0	13	0	1	0	0	0	0	0	0	0	31	0	0	0	21	0	2	0	4	0	1	2	110	0	2	10	36	13	1	27	14	41	11	14	59	35	7	19	85	27	8	7	49	7	38	16	24	0	9	1	0	2	0	13	1	24	2	12	60	17	13	0	31	35	41	24	9	24	35	14	16	8	4	70	0
Otu000123_Methyloligellaceae_unclassified	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	4	11	3	0	0	6	0	6	6	79	2	27	8	2	1	2	5	148	5	3	7	67	11	0	0	0	0	13	2	12	0	8	146	3	0	45	0	3	4	1	1	3	14	0	0	6	1	1	2	11	39
Otu000124_Nakamurella	14	38	0	45	5	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	36	0	4	0	1	9	1	0	0	8	0	0	57	0	0	2	0	14	2	0	0	6	3	26	4	15	13	67	0	20	0	0	16	11	13	18	5	10	9	15	0	4	7	8	5	11	8	0	0	4	87	0	6	14	6	30	8	4	118	2	8	32	0	4	1
Otu000125_Methylophilus	57	119	11	67	123	9	0	259	0	4	52	307	10	6	1	25	0	0	0	5	16	429	2	50	0	14	13	0	0	8	0	5	0	0	0	0	0	0	15	67	0	2	1	0	6	41	3	4	1	0	174	0	1	0	0	1	0	1	6	12	22	7	0	0	7	0	69	1	0	2	0	2	0	0	0	1	0	0	0	1	254	1	68	7	0	0	0	0	0	1	0	0	0	25	0	2	0	0	97	0	4
Otu000126_Rubrivirga	284	8	0	4	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	9	1	7	116	24	0	0	22	0	0	31	30	7	25	13	11	3	0	31	4	51	10	20	13	4	8	0	10	1	0	0	35	0	0	10	6	0	0	7	17	68	4	0	1	0	0	4	15	2	7	0
Otu000127_Armatimonadales_ge	21	1	0	5	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	19	3	1	19	3	3	20	296	4	2	8	0	12	1	0	9	0	8	19	0	2	0	5	0	28	0	34	0	14	4	0	0	15	0	0	13	8	8	2	1	1	0	0	1	4	13	24	2
